Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,550.0,0.0,5.0,2.0,7.0
Portugal,276.0,0.0,0.0,0.0,34.0
Spain,497.0,32.0,11.0,2.0,0.0
United States,113.0,0.0,4.0,18.0,1.0
Canada,167.0,37.0,1.0,1.0,0.0
Sweden,10.0,0.0,0.0,0.0,0.0
Italy,71.0,2.0,18.0,18.0,4.0
France,183.0,0.0,1.0,2.0,1.0
Belgium,62.0,0.0,2.0,1.0,0.0
Australia,13.0,0.0,2.0,7.0,0.0
Germany,338.0,2.0,18.0,11.0,2.0
Netherlands,95.0,0.0,0.0,1.0,0.0
Israel,5.0,1.0,3.0,5.0,0.0
Switzerland,28.0,0.0,0.0,3.0,0.0
Greece,2.0,0.0,2.0,2.0,0.0
Austria,11.0,0.0,2.0,0.0,0.0
Argentina,5.0,0.0,0.0,2.0,1.0
Denmark,8.0,0.0,0.0,2.0,0.0
Morocco,1.0,0.0,0.0,1.0,0.0
Slovenia,7.0,0.0,0.0,2.0,0.0
Scotland,16.0,0.0,1.0,1.0,0.0
Czech Republic,6.0,0.0,1.0,1.0,0.0
United Arab Emirates,13.0,0.0,0.0,1.0,0.0
Finland,3.0,0.0,0.0,3.0,0.0
Wales,6.0,0.0,0.0,0.0,0.0
Northern Ireland,2.0,0.0,0.0,0.0,0.0
Sudan,0.0,1.0,0.0,0.0,0.0
Bolivia,0.0,1.0,1.0,0.0,1.0
Iran,0.0,3.0,0.0,0.0,0.0
Ecuador,0.0,1.0,1.0,0.0,0.0
Malta,1.0,0.0,0.0,1.0,0.0
Ireland,14.0,0.0,0.0,0.0,0.0
Mexico,4.0,2.0,0.0,1.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,2.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Peru,0.0,0.0,1.0,1.0,0.0
Brazil,7.0,7.0,2.0,8.0,0.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,3.0,0.0,0.0,0.0,0.0
Norway,2.0,0.0,0.0,2.0,0.0
Paraguay,0.0,1.0,0.0,1.0,0.0
Costa Rica,0.0,0.0,0.0,1.0,0.0
Gibraltar,1.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,1.0,0.0,0.0,0.0
Uruguay,0.0,1.0,0.0,4.0,0.0
Latvia,2.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,1.0,1.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,1.0,0.0,1.0,0.0
Ghana,5.0,7.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0
Iceland,3.0,0.0,0.0,1.0,0.0
Poland,12.0,0.0,1.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,6.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Venezuela,1.0,0.0,0.0,1.0,0.0
Romania,3.0,0.0,1.0,0.0,0.0
Georgia,1.0,0.0,0.0,0.0,0.0
Slovakia,0.0,1.0,1.0,1.0,0.0
Luxembourg,1.0,0.0,0.0,0.0,0.0
Nepal,0.0,1.0,1.0,1.0,0.0
Chile,1.0,0.0,0.0,1.0,0.0
